Kalgoorlie - Boulder,"6430, 6432"
Kununurra - Wyndham,"6743, 6740"
North West Coast,"6713, 6714, 6718, 6720"
Port Headland,"6721, 6722"
Tom Price - Paraburdoo,"6751, 6754"
Burnie,"7320, 7322"
Finders Island,7255
King Island,7256
Launceston,7250
Canberra Metro,"2600-2620, 2900-2914"
Sydney Metro,"1000-2249, 2760-2770"
Darwin Metro,"0800-0820, 0900-0910"
Brisbane Metro,"4000-4207, 9000-9499"
Adelaide Metro,"5000-5199, 5900-5999"
Hobart Metro,"7000-7010, 7249-7250"
Melbourne Metro,"3000-3207, 8000-8499"
Perth Metro,"6000-6199, 6800-6999"
Canberra CBD,"2600, 2601, 2610"
Sydney CBD,"1100-1299, 2000, 2001, 2007, 2009"
North Sydney CBD,"1545-1559, 2059-2060"
Darwin CBD,"0800, 0801, 0820, 0822"
Brisbane CBD,"4000, 4001, 4003, 9000-9015"
Adelaide CBD,"5000, 5001, 5004, 5005, 5810, 5839, 5880-5889"
Hobart CBD,"7000, 7001"
Melbourne CBD,"3000-3006, 3205, 8000-8399"
Perth CBD,"6000, 6001, 6004, 6827, 6830-6832, 6837-6849"
ACT,"2600-2639, 2900-2920"
Albury / Wodonga,"2640, 2641, 3690"
Armidale,"2350, 2351"
Blue Mountains,"2780, 2570, 2758, 2785-2787, 2571, 2847, 2845"
Canberra - Queanbean,"2600-2620, 2900-2949"
Central Coast - NSW,2250-2267
Cessnock,"2321, 2325-2327"
Coffs Harbour,"2450, 2451"
Gosford,"2250, 2251, 2253, 2256-2263"
Gosford,"2250, 2251, 2253, 2256-2263"
Grafton,"2460, 2461"
Hunter Valley,2320-2338
Katoomba,"2780, 2701, 2706"
Maitland,"2320, 2321, 2323"
Newcastle,"2280-2309, 2315"
North Shore,"2060-2113, 2153-2154, 2119-2122"
Northern NSW,"2431-2490, 2830-2844"
Northern Rivers,"2413-2484, 2460-2465, 2450"
"NSW North Coast
(ie Port Macquarie to Tweed Heads)",2444-2490
"NSW South Coast
(Wollongong to Eden Inclusive)",2500-2551
Penrith,"2748-2751, 2760, 2773, 2774"
Port Maquarie,"2443, 2444"
Richmond,"2753-2755, 2757, 2758"
Riverina Area,2640-2660
Wagga Wagga,"2650, 2651, 2661"
Western Suburbs - NSW,"2123-2168, 2745-2770"
Wollongong,2500-2530
Ballarat,"3350, 3352, 3353, 3354"
Bendigo,"3550, 3555, 3556"
East (Melbourne),3101-3148
Geelong,"3214-3216, 3218-3220"
Geelong / Queenscliff / Torquay,"3214-3216, 3218-3228"
Melbourne CBD,3000-3001
Mildura - Wentworth,"2648, 3496, 3498, 3500, 2717"
Mornington Peninsula,"3931, 3934-3944"
Morwell - Latrobe Valley,"3825, 3828, 3838, 3840, 3844, 3842"
North (Melbourne),3047-3100
Phillip Island,3922-3926
Shepparton - Mooroopna,"3629, 3630"
South (Melbourne),3149-3207
West (Melbourne),3011-3044
Cairns,"4851-4899, 9980-9999"
Gold Coast,"4210-4221, 4223-4227, 9726, 9728, 9729"
Ipswich,"4300-4349, 9597-9599"
Mackay,"4734-4805, 9940-9959"
Rockhampton,"4690-4736, 9920-9939"
South East Queensland,"4000-4350, 4499-4601"
Sunshine Coast,"4500-4601, 9900-9919"
Townsville,"4806-4824, 4835-4850, 9960-9979"
Adelaide Hills,"5157, 5152, 5153, 5201, 5233, 5240-5244, 5250-5252, 5255"
Adelaide Plans,"5118, 5371, 5400, 5401, 5501, 5502"
Barossa Valley,"5230-5353, 5355, 5356, 5360, 5372-5374"
Flauricu Peninsula,"5202, 5204, 5210-5214, 5251"
Kangaroo Island,5220-5223
Lower Eyre Peninsula,"5606, 5607, 5610, 5630, 5631"
Murray Mallee,"5301-5304, 5307, 5332, 5346, 5312"
Port Pirie,"5422, 5431, 5472, 5473, 5480-5483, 5490, 5491, 5495, 5521-5523, 5540"
Riverland,"5320-5322, 5330-5333, 5340-5346"
Strathalbyn,"5153, 5157, 5201, 5214, 5245. 5254. 5256"
Whyalia,"5600, 5601, 5608, 5609"
York Peninsula,"5522, 5550, 5552, 5554-5558, 5568, 5570, 5573, 5554-5557, 5580-5583"
Darwin,0800-0833
